,datetime,DLclose,CondV
97,2006-05-22,-0.00958758737704768,0.00023761122084722285
98,2006-05-23,-0.021055792598874135,0.00022344640047388317
99,2006-05-24,0.005969259022708062,0.00027588870866497594
100,2006-05-25,0.019073943133636195,0.00024112732949317954
101,2006-05-26,0.009770618069065762,0.0002653855859338992
102,2006-05-30,-0.017011887439911,0.00024167863806248626
103,2006-05-31,0.0035152049958444564,0.0002632118272284193
104,2006-06-01,0.021566567042447193,0.00022723046844532428
105,2006-06-02,0.005247060573516649,0.00027067814717198234
106,2006-06-05,-0.02215821241851179,0.00023558815745562003
107,2006-06-06,-0.011021762580891714,0.00029458011793115384
108,2006-06-07,-0.003047693074853086,0.00027642759153172507
109,2006-06-08,-0.004759395552024426,0.00023957355750957375
110,2006-06-09,0.0011730650504180318,0.00021168710011437353
